,MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,Referee,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards
2770,2000-2001_Coventry_Man United,2000-2001,11,2000-11-04,Coventry,Man United,1,2,A,Graham Poll,17.0,8.0,1.0,1.0,0.0,0.0
2771,2000-2001_Leeds_Liverpool,2000-2001,11,2000-11-04,Leeds,Liverpool,4,3,H,David Ellaray,18.0,18.0,1.0,4.0,0.0,0.0
2772,2000-2001_Man City_Leicester,2000-2001,11,2000-11-04,Man City,Leicester,0,1,A,Mark Halsey,12.0,14.0,1.0,2.0,0.0,0.0
2773,2000-2001_Middlesbrough_Arsenal,2000-2001,11,2000-11-04,Middlesbrough,Arsenal,0,1,A,Andy D'Urso,10.0,11.0,1.0,1.0,1.0,0.0
2774,2000-2001_Newcastle_Ipswich,2000-2001,11,2000-11-04,Newcastle,Ipswich,2,1,H,Alan Wiley,13.0,7.0,1.0,0.0,0.0,0.0
2775,2000-2001_Southampton_Chelsea,2000-2001,11,2000-11-04,Southampton,Chelsea,3,2,H,Jeff Winter,16.0,11.0,4.0,2.0,0.0,0.0
2776,2000-2001_Tottenham_Sunderland,2000-2001,11,2000-11-04,Tottenham,Sunderland,2,1,H,Dermot Gallagher,18.0,9.0,1.0,0.0,1.0,0.0
2777,2000-2001_Everton_Aston Villa,2000-2001,11,2000-11-05,Everton,Aston Villa,0,1,A,Steve Lodge,17.0,23.0,3.0,2.0,0.0,0.0
2778,2000-2001_Derby_West Ham,2000-2001,11,2000-11-06,Derby,West Ham,0,0,D,Paul Durkin,14.0,18.0,1.0,1.0,0.0,0.0
2779,2000-2001_Arsenal_Derby,2000-2001,12,2000-11-11,Arsenal,Derby,0,0,D,Steve Lodge,12.0,13.0,0.0,2.0,0.0,0.0
2780,2000-2001_Aston Villa_Tottenham,2000-2001,12,2000-11-11,Aston Villa,Tottenham,2,0,H,Barry Knight,15.0,13.0,0.0,3.0,0.0,0.0
2781,2000-2001_Bradford_Everton,2000-2001,12,2000-11-11,Bradford,Everton,0,1,A,Rob Harris,8.0,18.0,1.0,2.0,0.0,0.0
2782,2000-2001_Ipswich_Charlton,2000-2001,12,2000-11-11,Ipswich,Charlton,2,0,H,Steve Bennett,8.0,12.0,0.0,2.0,0.0,0.0
